days_cash_on_hand,current_ratio,burn_rate_monthly_rm,purchase_amount,purchase_to_burn,is_digitalisation,is_agri,monthly_net_cash,recommended_product,label
56.3,1.984,10425.95,23123.7,2.218,1,0,13215.33,bnpl,0
126.5,2.041,8848.17,20627.16,2.331,1,0,23616.77,bnpl,0
109.2,1.28,13476.78,21636.42,1.605,0,1,-5000.0,bnpl,1
45.4,0.979,8767.15,17937.49,2.046,0,0,39042.43,grant,0
76.9,2.006,8000.0,4736.91,0.592,1,0,11000.14,bnpl,0
84.6,1.541,8000.0,11510.14,1.439,0,0,-5000.0,cash,0
91.7,1.653,8000.0,9112.23,1.139,1,0,-5000.0,micro_credit,0
73.4,1.817,8000.0,15950.18,1.994,0,1,2455.36,micro_credit,0
55.2,1.52,8000.0,8915.02,1.114,1,0,-5000.0,bnpl,0
124.1,1.56,8000.0,13598.15,1.7,1,0,9978.1,bnpl,0
69.5,1.722,13917.17,9029.25,0.649,0,1,1635.27,cash,0
68.1,0.905,8000.0,25636.72,3.205,0,0,41609.42,micro_credit,1
68.8,1.711,11385.12,65734.85,5.774,0,0,32152.35,bnpl,0
71.8,1.282,8000.0,13519.72,1.69,0,0,-1614.31,micro_credit,0
39.4,1.369,8000.0,30574.69,3.822,0,0,27869.52,micro_credit,1
74.8,1.964,10247.77,7527.32,0.735,0,0,39416.23,grant,0
88.5,1.26,9084.71,7468.21,0.822,0,0,-5000.0,grant,0
98.2,2.085,8000.0,16475.56,2.059,1,0,288.43,bnpl,0
62.8,1.384,8000.0,12415.33,1.552,1,0,-2957.1,bnpl,0
81.8,1.536,8888.14,7338.13,0.826,0,1,1618.12,cash,0
93.9,1.69,8000.0,12767.18,1.596,0,0,25524.97,bnpl,0
33.3,1.702,8000.0,16544.84,2.068,1,0,-1738.66,cash,1
29.9,1.094,10113.62,13944.6,1.379,0,1,-4277.7,grant,1
91.0,1.085,9607.16,6210.15,0.646,0,1,266.95,grant,0
76.2,1.309,8324.43,21024.86,2.526,0,0,1615.95,micro_credit,0
95.9,1.234,12561.75,26711.85,2.126,0,0,-5000.0,bnpl,1
55.1,1.712,9032.91,14825.89,1.641,0,0,1128.27,cash,0
77.2,1.506,16739.09,13903.99,0.831,1,0,18076.85,cash,0
64.7,1.413,8146.54,15017.16,1.843,0,1,4422.28,micro_credit,0
82.2,2.131,14647.22,10104.0,0.69,0,0,33621.85,cash,0
64.8,0.979,8000.0,4320.23,0.54,0,0,5672.76,micro_credit,0
75.5,2.019,11465.72,10716.02,0.935,0,0,26929.3,grant,0
19.7,1.616,14001.07,5360.31,0.383,1,0,32587.57,bnpl,0
83.5,1.434,13157.56,42145.41,3.203,1,0,15273.59,cash,0
81.2,1.421,8000.0,19085.51,2.386,0,1,-3409.51,micro_credit,0
76.8,1.416,12277.71,14523.37,1.183,0,0,30675.72,micro_credit,0
62.2,1.474,8000.0,9467.68,1.183,0,0,18791.41,bnpl,0
93.9,1.292,14637.22,25478.77,1.741,1,0,19441.83,bnpl,1
121.9,1.333,8000.0,4544.64,0.568,1,0,38928.8,grant,0
91.4,1.534,11225.98,6509.26,0.58,1,0,56023.54,micro_credit,0
78.2,1.581,13719.8,15749.36,1.148,0,1,16029.91,micro_credit,0
55.2,1.682,23084.37,25335.99,1.098,0,0,40677.36,bnpl,0
62.2,1.273,9352.47,12464.61,1.333,0,0,31695.45,grant,0
32.7,1.978,9217.84,9558.78,1.037,1,1,-5000.0,grant,1
33.6,1.78,10229.11,5946.28,0.581,1,1,-5000.0,grant,0
66.6,2.017,8805.96,5288.4,0.601,1,0,7576.62,micro_credit,0
68.2,0.8,9658.25,10646.49,1.102,0,0,24531.71,bnpl,0
121.2,1.865,8769.19,6577.5,0.75,0,0,58320.48,bnpl,0
76.5,1.554,9790.26,13479.79,1.377,1,1,9401.51,cash,0
60.7,1.397,9752.33,8965.3,0.919,0,1,-831.22,micro_credit,0
77.7,1.479,19473.25,2812.89,0.144,1,0,31647.12,bnpl,0
106.2,0.969,8482.76,9854.74,1.162,1,0,-5000.0,cash,0
55.6,1.239,21775.08,20223.96,0.929,0,0,34887.99,cash,1
93.0,1.234,8000.0,15821.99,1.978,1,0,-5000.0,grant,0
92.8,1.483,8360.98,17872.67,2.138,0,0,19996.74,grant,0
66.0,1.875,8000.0,16962.57,2.12,1,0,22675.82,grant,0
67.3,1.641,8000.0,20094.77,2.512,0,0,8671.76,cash,0
61.9,1.844,8000.0,5571.09,0.696,1,0,-5000.0,grant,0
90.2,1.191,21799.83,3846.58,0.176,0,0,42536.21,grant,0
80.3,1.523,8000.0,15055.89,1.882,0,0,11322.58,bnpl,0
102.6,1.582,10589.69,9897.26,0.935,0,0,10974.98,micro_credit,0
82.7,1.071,8000.0,18193.06,2.274,0,0,15075.58,micro_credit,0
70.4,1.555,11572.79,8983.39,0.776,0,0,-2009.49,cash,0
79.9,1.276,11893.1,4738.99,0.398,0,1,30524.8,grant,0
86.8,1.622,15401.36,30212.5,1.962,1,0,30258.66,micro_credit,0
29.0,1.192,8000.0,12263.1,1.533,1,0,21317.86,micro_credit,1
56.9,1.602,8000.0,8635.74,1.079,0,0,-5000.0,grant,0
51.9,1.172,8000.0,21579.58,2.697,1,0,-5000.0,micro_credit,1
140.8,1.688,10755.54,7539.44,0.701,0,0,24605.58,bnpl,0
60.6,1.584,31320.81,11466.29,0.366,0,0,32686.92,cash,0
57.4,1.54,21957.42,8562.68,0.39,0,0,44624.07,grant,0
92.7,1.393,13155.35,20638.32,1.569,1,0,23192.58,micro_credit,0
35.7,1.346,8853.93,11603.49,1.311,0,1,23172.1,micro_credit,1
79.4,1.176,11743.9,16912.73,1.44,0,0,22076.23,grant,0
102.0,1.783,12168.81,11630.76,0.956,0,0,-5000.0,cash,0
85.7,1.608,11183.68,5989.65,0.536,0,0,-5000.0,bnpl,0
101.3,1.539,13449.21,12278.13,0.913,1,0,12535.61,grant,0
98.5,1.406,10334.62,9374.5,0.907,1,0,4179.07,micro_credit,0
67.3,1.612,8000.0,24116.85,3.015,0,0,-4102.93,grant,0
70.3,1.427,18979.98,13468.45,0.71,0,0,30573.2,micro_credit,0
37.9,1.625,14769.71,12648.02,0.856,1,1,31178.65,grant,0
62.1,1.945,27847.66,9901.47,0.356,0,0,3980.95,micro_credit,0
111.3,1.992,8000.0,9594.04,1.199,0,0,6927.88,cash,0
41.4,1.293,8000.0,7924.47,0.991,0,0,11375.67,micro_credit,0
80.9,1.984,8000.0,20772.33,2.597,1,0,8148.2,cash,0
73.8,1.739,8000.0,14918.02,1.865,0,0,14996.14,micro_credit,0
87.3,1.631,29878.22,8512.09,0.285,1,0,2442.05,micro_credit,0
59.4,1.394,8000.0,23247.64,2.906,1,0,37569.08,grant,0
60.7,1.317,12235.99,8922.02,0.729,0,0,23392.77,micro_credit,0
80.1,1.126,19858.3,32458.99,1.635,1,0,969.8,cash,1
65.3,1.63,11504.64,17364.78,1.509,0,0,48183.68,bnpl,0
70.6,1.326,8000.0,8086.8,1.011,1,0,11403.71,grant,0
119.9,1.405,10945.73,11979.68,1.094,0,1,33391.08,cash,0
138.2,1.401,8000.0,21467.35,2.683,1,0,24274.05,grant,0
121.2,1.713,8419.61,16728.35,1.987,0,0,31956.66,bnpl,0
95.5,1.692,15994.55,22996.85,1.438,0,0,36878.86,micro_credit,0
91.2,1.503,10572.6,23472.39,2.22,0,0,-2704.84,grant,0
84.2,1.44,10025.98,24419.77,2.436,0,0,15439.78,bnpl,0
76.2,1.169,13846.86,17240.5,1.245,0,1,50938.59,cash,0
67.3,1.611,11072.53,28784.7,2.6,0,0,10284.68,cash,0
82.0,1.72,10764.12,9456.54,0.879,0,0,15493.62,cash,0
101.8,1.263,10507.41,8225.0,0.783,1,0,33510.84,grant,0
36.9,1.394,11728.13,28596.46,2.438,1,1,10816.5,bnpl,1
61.1,2.077,8000.0,3607.09,0.451,0,0,19920.26,bnpl,0
62.4,1.264,13612.73,13823.02,1.015,1,0,1846.58,cash,0
43.0,1.794,13261.1,11446.66,0.863,1,1,45239.47,bnpl,0
48.2,1.123,8000.0,11789.07,1.474,0,0,16380.11,cash,0
69.0,1.649,8000.0,26744.14,3.343,0,0,10521.28,grant,0
102.9,1.646,12155.52,16537.27,1.36,0,0,20058.75,bnpl,0
91.1,1.922,10812.24,17853.45,1.651,1,0,10384.76,grant,0
111.0,1.361,22257.25,11824.31,0.531,0,0,-5000.0,micro_credit,0
78.2,1.359,14447.69,8442.69,0.584,0,0,3968.7,bnpl,0
27.8,1.423,8000.0,5058.64,0.632,1,0,25687.46,cash,0
94.6,1.669,8000.0,11775.29,1.472,1,0,11935.15,cash,0
46.0,1.971,14688.4,10705.04,0.729,1,0,12483.95,cash,0
80.2,0.978,8855.29,8307.46,0.938,1,1,-5000.0,grant,0
68.0,2.053,13205.38,8829.48,0.669,0,0,22306.49,cash,0
110.0,1.809,10166.3,8469.14,0.833,0,0,24568.02,cash,0
84.8,1.801,13171.72,21531.11,1.635,0,0,2365.77,micro_credit,0
107.9,1.605,25181.56,8274.61,0.329,1,0,43247.35,grant,0
79.9,1.368,8000.0,10135.6,1.267,0,0,19634.99,grant,0
88.1,1.389,9789.25,39271.28,4.012,0,0,43095.78,cash,0
85.9,1.561,10446.41,16940.03,1.622,0,0,-5000.0,bnpl,0
68.6,1.083,11844.87,17256.73,1.457,1,0,3302.64,bnpl,0
114.3,1.207,8000.0,13676.69,1.71,1,0,30847.77,cash,0
117.1,1.422,16081.2,11835.05,0.736,0,0,8892.71,bnpl,0
97.1,1.733,8000.0,27230.62,3.404,0,0,36841.64,cash,0
59.4,1.661,12361.15,13951.89,1.129,0,0,2094.51,cash,0
58.2,1.543,16776.39,16300.97,0.972,0,0,5328.94,micro_credit,0
94.3,0.8,16596.46,4643.19,0.28,1,0,5476.06,bnpl,0
47.0,1.187,16686.78,9346.57,0.56,0,0,18237.07,grant,0
73.8,1.684,10245.25,5969.12,0.583,1,0,29932.8,grant,0
62.7,1.114,8162.85,27595.77,3.381,0,0,27303.99,grant,1
66.3,1.452,8563.5,37881.24,4.424,0,1,18874.84,cash,0
85.8,1.838,11019.87,10483.17,0.951,1,0,8465.7,grant,0
73.2,1.54,13731.3,12438.73,0.906,0,0,25187.52,micro_credit,0
73.0,1.572,8000.0,20009.86,2.501,0,0,18236.79,bnpl,0
100.0,0.8,25330.6,11195.04,0.442,1,0,31947.29,micro_credit,0
49.0,1.722,8000.0,8577.75,1.072,0,0,46452.56,bnpl,0
70.2,1.611,14640.26,15876.97,1.084,0,0,14707.54,cash,0
84.1,2.223,9643.81,13502.15,1.4,1,1,30911.78,bnpl,0
102.6,1.882,13192.83,6446.85,0.489,0,0,41401.77,bnpl,0
46.3,1.635,8000.0,11669.38,1.459,0,0,17917.72,micro_credit,0
83.0,1.668,20458.83,15513.16,0.758,0,0,7605.18,cash,0
99.1,1.883,8000.0,16790.53,2.099,0,0,24621.11,grant,0
67.6,1.935,9250.89,12952.8,1.4,0,1,8884.71,cash,0
75.4,1.243,8000.0,29055.93,3.632,1,0,-3245.3,micro_credit,1
50.2,0.947,8000.0,5838.92,0.73,0,1,41556.27,cash,0
100.2,1.357,27271.46,20743.14,0.761,0,0,6153.04,bnpl,0
15.0,2.191,8000.0,4890.41,0.611,0,0,30406.27,micro_credit,0
136.0,1.938,12756.03,16766.11,1.314,0,0,27361.48,bnpl,0
94.0,1.629,10372.26,11679.31,1.126,0,0,-1571.36,micro_credit,0
68.0,1.076,9468.7,7018.29,0.741,0,0,-5000.0,micro_credit,0
79.5,1.94,14961.6,5096.07,0.341,0,0,-5000.0,bnpl,0
98.5,1.275,8945.58,16358.92,1.829,1,0,-5000.0,cash,0
77.6,1.176,8000.0,14412.92,1.802,0,0,-5000.0,micro_credit,0
86.0,1.545,12690.65,13672.65,1.077,0,0,36554.53,grant,0
78.1,1.43,10457.07,16298.26,1.559,1,0,12879.48,cash,0
76.0,1.353,8000.0,5589.06,0.699,1,0,43492.38,bnpl,0
43.9,1.356,8000.0,19775.68,2.472,1,0,6690.91,grant,1
106.2,1.361,11221.06,7635.47,0.68,0,0,50612.68,cash,0
45.3,1.637,13163.45,15177.81,1.153,1,0,8664.82,grant,0
71.8,1.562,9263.61,20540.08,2.217,0,0,51789.41,cash,0
61.1,1.166,9511.65,49953.11,5.252,0,1,-2466.14,bnpl,1
116.0,2.02,8000.0,16530.14,2.066,1,0,41311.14,cash,0
65.5,1.493,8000.0,6918.01,0.865,1,0,313.0,micro_credit,0
44.4,1.56,8000.0,13747.09,1.718,0,0,-5000.0,micro_credit,1
83.3,1.783,8000.0,14849.64,1.856,0,0,34098.04,micro_credit,0
44.8,2.018,11950.86,8202.9,0.686,1,1,10996.16,grant,0
89.0,1.571,12612.46,7285.41,0.578,0,0,15048.49,grant,0
39.7,1.519,8000.0,8066.37,1.008,0,0,34249.68,bnpl,1
102.3,1.721,8000.0,10157.58,1.27,0,0,33835.76,bnpl,0
78.5,2.199,11813.44,13435.11,1.137,0,1,6435.9,grant,0
78.3,1.507,13611.21,20459.17,1.503,0,1,-2147.81,micro_credit,0
41.7,1.036,12439.05,6588.94,0.53,0,0,-5000.0,micro_credit,0
84.7,2.248,9870.13,19171.31,1.942,0,0,13472.93,micro_credit,0
72.5,1.807,8685.21,14003.54,1.612,0,0,17790.56,micro_credit,0
58.3,1.828,9147.79,7977.18,0.872,0,0,21657.18,cash,0
52.5,1.558,9856.6,21965.81,2.229,0,1,20544.57,micro_credit,0
74.4,1.779,18501.25,16428.87,0.888,0,0,12186.35,micro_credit,0
42.2,1.252,8626.97,8645.28,1.002,0,1,8634.52,bnpl,1
76.4,1.698,9588.08,15797.01,1.648,0,0,13160.54,micro_credit,0
25.6,1.287,9275.77,6214.67,0.67,0,0,22798.72,micro_credit,0
113.3,1.891,8990.74,27443.9,3.052,1,0,14676.01,grant,0
66.6,1.378,8637.67,9764.44,1.13,0,0,15067.49,cash,0
79.0,1.551,12047.62,23268.49,1.931,0,0,29091.97,bnpl,0
37.9,0.835,15069.74,5699.97,0.378,0,0,7954.22,micro_credit,0
45.7,1.045,12627.83,18352.76,1.453,0,0,1622.81,bnpl,0
15.0,1.397,11805.39,5359.35,0.454,0,0,15300.48,grant,0
74.6,1.712,10444.29,7078.46,0.678,0,0,33538.29,cash,0
71.0,1.542,8000.0,9472.94,1.184,0,0,-3926.45,micro_credit,0
70.7,2.029,8000.0,4976.79,0.622,0,0,38481.07,grant,0
69.8,1.363,15803.03,8663.82,0.548,0,0,44868.17,micro_credit,0
91.9,1.413,26128.68,8663.35,0.332,0,0,25357.72,grant,0
82.5,1.914,19983.86,12303.05,0.616,0,0,-1561.52,bnpl,0
86.5,1.36,24490.1,13031.1,0.532,1,0,5424.21,micro_credit,0
79.6,1.173,8000.0,23393.83,2.924,0,0,175.9,micro_credit,1
48.8,1.7,16874.63,17951.42,1.064,0,0,29928.86,bnpl,0
56.1,1.152,19449.96,10122.6,0.52,0,0,7485.01,bnpl,0
108.2,1.706,12150.79,39765.35,3.273,0,0,416.67,bnpl,0
98.2,1.566,11168.66,28019.55,2.509,0,0,21141.04,micro_credit,0
88.5,1.85,8398.19,7619.26,0.907,0,0,-5000.0,grant,0
25.8,2.126,8000.0,10703.33,1.338,1,0,7017.36,cash,1
82.7,1.778,14577.19,8771.89,0.602,0,0,8991.81,cash,0
82.1,1.48,20400.31,15835.92,0.776,1,0,25227.8,grant,0
91.6,1.879,10737.09,5923.85,0.552,0,0,19194.38,grant,0
58.7,1.402,12885.58,23886.19,1.854,0,1,12382.89,cash,0
82.7,2.027,11029.61,50560.49,4.584,0,0,22179.17,grant,0
31.0,1.761,11748.97,24572.03,2.091,0,0,24117.26,bnpl,1
71.5,1.207,9008.64,7572.01,0.841,1,0,1550.58,cash,0
89.7,2.018,11820.64,6262.06,0.53,0,0,20002.85,cash,0
104.9,1.379,9317.9,12186.43,1.308,1,0,-2128.17,micro_credit,0
91.2,1.516,11953.62,7419.59,0.621,0,0,4125.75,grant,0
93.1,1.446,21528.52,9703.09,0.451,1,1,16044.33,grant,0
98.3,1.153,8000.0,5223.32,0.653,1,0,34726.51,micro_credit,0
61.2,2.266,8000.0,13379.82,1.672,1,0,39757.98,micro_credit,0
125.2,2.127,17047.6,21231.36,1.245,1,0,22665.49,micro_credit,0
94.5,1.396,8000.0,12065.97,1.508,0,0,8936.68,micro_credit,0
63.7,1.745,15212.72,12690.69,0.834,0,0,38595.54,grant,0
46.5,1.496,8000.0,4330.36,0.541,0,0,10511.75,micro_credit,0
72.0,1.974,13145.9,6882.22,0.524,0,0,45373.67,cash,0
105.5,1.713,8938.13,7131.73,0.798,1,0,5300.28,grant,0
102.2,2.078,19820.25,9238.48,0.466,1,1,-5000.0,grant,0
78.5,1.055,11446.34,11145.81,0.974,1,0,3611.34,bnpl,0
35.1,1.694,8000.0,6352.13,0.794,0,0,-5000.0,bnpl,0
74.3,2.046,20901.3,9401.24,0.45,0,1,1160.18,bnpl,0
86.7,1.27,11336.77,18422.8,1.625,0,1,34084.8,bnpl,0
72.5,1.493,8000.0,7671.1,0.959,0,0,7923.38,micro_credit,0
84.2,1.806,8000.0,27473.54,3.434,0,0,7119.78,bnpl,0
74.5,1.341,8000.0,19657.71,2.457,0,0,25263.19,micro_credit,0
68.0,1.569,12483.62,5118.41,0.41,0,0,2477.05,cash,0
94.9,1.199,11294.84,5732.35,0.508,0,1,20395.74,bnpl,0
74.1,1.098,16716.19,8070.53,0.483,0,0,-2584.54,cash,0
80.0,1.872,8000.0,12505.5,1.563,1,0,19718.7,micro_credit,0
92.3,1.599,8390.35,7668.11,0.914,0,0,13550.59,micro_credit,0
48.2,0.8,12045.57,19873.93,1.65,0,0,-5000.0,bnpl,0
49.8,1.723,24981.05,12227.42,0.489,0,0,-1104.05,cash,0
70.4,1.935,8000.0,7788.82,0.974,0,1,3310.62,bnpl,0
51.2,1.584,20560.05,14439.08,0.702,0,0,7457.64,cash,0
67.7,1.112,14726.43,11581.79,0.786,1,1,8751.36,bnpl,0
154.8,1.634,8000.0,9561.53,1.195,0,1,32672.02,micro_credit,0
77.8,1.147,14967.75,8370.93,0.559,0,0,45719.36,micro_credit,0
102.0,1.425,17614.14,12548.05,0.712,0,1,27349.93,grant,0
87.1,1.313,8000.0,21300.34,2.663,0,0,5974.04,micro_credit,0
64.9,1.283,11975.52,37586.07,3.139,0,0,-5000.0,bnpl,1
75.6,1.945,9548.71,15503.24,1.624,1,0,-5000.0,bnpl,0
85.7,1.498,15422.43,23226.81,1.506,1,1,58612.15,grant,0
89.5,1.641,10801.85,9954.29,0.922,0,0,18092.71,micro_credit,0
67.6,1.597,17906.5,6949.34,0.388,0,1,32517.81,micro_credit,0
107.9,1.517,8000.0,8653.32,1.082,1,0,35345.9,cash,0
74.4,1.27,8000.0,19193.77,2.399,0,0,21841.2,cash,0
69.0,1.447,8297.49,7278.46,0.877,0,0,41076.76,grant,0
66.9,1.891,19625.64,20932.77,1.067,1,0,4230.83,bnpl,0
85.1,1.543,8000.0,14449.25,1.806,0,0,-5000.0,bnpl,0
104.7,1.42,10834.84,14126.51,1.304,0,0,7339.71,cash,0
89.7,1.417,14648.36,5765.87,0.394,1,0,14274.83,micro_credit,0
123.5,1.27,8000.0,16036.93,2.005,0,0,15232.47,grant,0
83.8,1.687,13169.05,22255.29,1.69,0,0,19376.74,cash,0
69.0,1.738,23270.62,11237.95,0.483,0,1,-5000.0,micro_credit,0
102.7,1.516,8000.0,19265.71,2.408,1,0,2364.09,grant,0
72.7,1.643,10782.99,17857.85,1.656,0,0,4161.25,micro_credit,0
87.8,1.477,13800.56,16957.27,1.229,0,0,-4837.9,bnpl,0
102.1,1.4,14237.38,14794.46,1.039,0,0,45087.31,cash,0
69.4,1.452,9811.02,10231.75,1.043,0,0,26398.95,cash,0
34.6,1.255,8000.0,20387.34,2.548,1,0,42791.04,bnpl,1
72.4,1.503,10214.09,22903.23,2.242,1,0,-4692.36,cash,0
81.0,1.823,12400.5,13416.89,1.082,0,0,30018.83,bnpl,0
15.0,1.74,8000.0,4416.72,0.552,0,0,21201.65,micro_credit,0
109.3,1.512,15196.09,29341.35,1.931,0,1,35668.46,grant,0
116.0,1.758,10238.86,5008.64,0.489,0,0,7570.88,grant,0
53.9,2.158,9143.98,12935.91,1.415,1,0,21926.74,cash,0
76.1,2.025,8000.0,13454.03,1.682,1,0,-1364.47,micro_credit,0
42.0,1.379,9733.54,9546.06,0.981,1,0,-463.58,bnpl,0
39.8,1.527,8000.0,18361.86,2.295,1,0,13483.92,bnpl,1
38.6,1.463,8000.0,14408.1,1.801,0,0,36128.11,micro_credit,1
28.1,1.582,9209.03,17487.42,1.899,0,0,15837.54,cash,1
56.2,1.461,8000.0,21846.67,2.731,0,0,12383.61,bnpl,0
122.5,1.533,8000.0,5257.74,0.657,0,0,-5000.0,micro_credit,0
35.4,1.625,12443.16,5066.19,0.407,0,0,28110.69,cash,0
62.9,1.591,20445.12,19796.52,0.968,0,0,7166.45,cash,0
52.7,0.947,8000.0,10763.09,1.345,1,0,-5000.0,grant,0
71.7,1.572,8944.69,8454.88,0.945,1,0,15035.78,micro_credit,0
86.0,1.245,18674.6,11450.36,0.613,0,0,12339.29,bnpl,0
92.7,1.615,15197.88,14156.35,0.931,1,0,976.13,grant,0
84.0,1.23,10392.63,11869.45,1.142,0,0,8253.9,cash,0
71.8,1.023,8000.0,12721.7,1.59,1,0,14877.42,grant,0
