date,amount,category,description,is_expense
2025-11-24,4012.7,Services - Digital,Kopi Maju Enterprise — Services - Digital (Nov 2025),False
2025-11-26,4448.07,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Nov 2025),False
2025-11-26,2002.01,Supplies,Kopi Maju Enterprise — Supplies (Nov 2025),True
2025-11-26,3913.63,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Nov 2025),False
2025-11-26,2015.45,Supplies,Kopi Maju Enterprise — Supplies (Nov 2025),True
2025-11-26,3775.9,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Nov 2025),False
2025-11-27,1817.35,Marketing,Kopi Maju Enterprise — Marketing (Nov 2025),True
2025-11-27,1637.4,Logistics,Kopi Maju Enterprise — Logistics (Nov 2025),True
2025-11-28,3845.62,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Nov 2025),False
2025-11-28,1634.1,Digital / Software,Kopi Maju Enterprise — Digital / Software (Nov 2025),True
2025-11-28,2007.11,Logistics,Kopi Maju Enterprise — Logistics (Nov 2025),True
2025-11-30,3710.38,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Nov 2025),False
2025-11-30,4703.54,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Nov 2025),False
2025-11-30,1821.25,Utilities,Kopi Maju Enterprise — Utilities (Nov 2025),True
2025-12-01,3911.09,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Dec 2025),False
2025-12-03,1975.28,Equipment,Kopi Maju Enterprise — Equipment (Dec 2025),True
2025-12-06,2120.68,Marketing,Kopi Maju Enterprise — Marketing (Dec 2025),True
2025-12-07,1894.24,Marketing,Kopi Maju Enterprise — Marketing (Dec 2025),True
2025-12-07,4503.92,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Dec 2025),False
2025-12-10,4859.52,Services - Digital,Kopi Maju Enterprise — Services - Digital (Dec 2025),False
2025-12-10,4290.68,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Dec 2025),False
2025-12-10,4117.92,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Dec 2025),False
2025-12-10,1670.94,Utilities,Kopi Maju Enterprise — Utilities (Dec 2025),True
2025-12-11,1665.86,Digital / Software,Kopi Maju Enterprise — Digital / Software (Dec 2025),True
2025-12-13,4706.87,Services - Digital,Kopi Maju Enterprise — Services - Digital (Dec 2025),False
2025-12-14,4733.12,Services - Digital,Kopi Maju Enterprise — Services - Digital (Dec 2025),False
2025-12-15,2108.66,Payroll,Kopi Maju Enterprise — Payroll (Dec 2025),True
2025-12-15,1625.61,Marketing,Kopi Maju Enterprise — Marketing (Dec 2025),True
2025-12-15,1707.91,Equipment,Kopi Maju Enterprise — Equipment (Dec 2025),True
2025-12-16,1988.54,Payroll,Kopi Maju Enterprise — Payroll (Dec 2025),True
2025-12-17,2056.13,Equipment,Kopi Maju Enterprise — Equipment (Dec 2025),True
2025-12-17,2108.98,Digital / Software,Kopi Maju Enterprise — Digital / Software (Dec 2025),True
2025-12-18,4354.44,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Dec 2025),False
2025-12-19,4263.74,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Dec 2025),False
2025-12-19,4991.55,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Dec 2025),False
2025-12-20,3854.75,Services - Digital,Kopi Maju Enterprise — Services - Digital (Dec 2025),False
2025-12-21,4999.26,Services - Digital,Kopi Maju Enterprise — Services - Digital (Dec 2025),False
2025-12-22,1952.55,Equipment,Kopi Maju Enterprise — Equipment (Dec 2025),True
2025-12-22,1846.86,Payroll,Kopi Maju Enterprise — Payroll (Dec 2025),True
2025-12-24,2136.55,Equipment,Kopi Maju Enterprise — Equipment (Dec 2025),True
2025-12-26,1844.17,Marketing,Kopi Maju Enterprise — Marketing (Dec 2025),True
2025-12-26,2131.69,Digital / Software,Kopi Maju Enterprise — Digital / Software (Dec 2025),True
2025-12-26,4954.28,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Dec 2025),False
2025-12-27,4192.94,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Dec 2025),False
2025-12-29,2016.89,Utilities,Kopi Maju Enterprise — Utilities (Dec 2025),True
2025-12-31,1711.84,Utilities,Kopi Maju Enterprise — Utilities (Dec 2025),True
2026-01-02,1896.28,Logistics,Kopi Maju Enterprise — Logistics (Jan 2026),True
2026-01-03,4099.9,Services - Digital,Kopi Maju Enterprise — Services - Digital (Jan 2026),False
2026-01-03,5045.62,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Jan 2026),False
2026-01-03,1710.34,Payroll,Kopi Maju Enterprise — Payroll (Jan 2026),True
2026-01-05,5210.44,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Jan 2026),False
2026-01-05,4607.05,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Jan 2026),False
2026-01-05,1909.0,Logistics,Kopi Maju Enterprise — Logistics (Jan 2026),True
2026-01-07,2171.17,Marketing,Kopi Maju Enterprise — Marketing (Jan 2026),True
2026-01-07,2111.86,Digital / Software,Kopi Maju Enterprise — Digital / Software (Jan 2026),True
2026-01-08,1766.77,Marketing,Kopi Maju Enterprise — Marketing (Jan 2026),True
2026-01-08,4403.93,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Jan 2026),False
2026-01-09,5098.96,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Jan 2026),False
2026-01-09,4899.04,Services - Digital,Kopi Maju Enterprise — Services - Digital (Jan 2026),False
2026-01-10,4298.1,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Jan 2026),False
2026-01-11,1947.54,Logistics,Kopi Maju Enterprise — Logistics (Jan 2026),True
2026-01-11,4033.82,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Jan 2026),False
2026-01-11,4175.5,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Jan 2026),False
2026-01-13,2165.04,Utilities,Kopi Maju Enterprise — Utilities (Jan 2026),True
2026-01-13,2105.56,Utilities,Kopi Maju Enterprise — Utilities (Jan 2026),True
2026-01-14,1717.28,Logistics,Kopi Maju Enterprise — Logistics (Jan 2026),True
2026-01-14,1909.05,Utilities,Kopi Maju Enterprise — Utilities (Jan 2026),True
2026-01-14,2077.27,Logistics,Kopi Maju Enterprise — Logistics (Jan 2026),True
2026-01-14,1887.11,Equipment,Kopi Maju Enterprise — Equipment (Jan 2026),True
2026-01-15,1823.76,Payroll,Kopi Maju Enterprise — Payroll (Jan 2026),True
2026-01-15,4836.58,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Jan 2026),False
2026-01-18,4825.39,Services - Digital,Kopi Maju Enterprise — Services - Digital (Jan 2026),False
2026-01-18,1963.63,Equipment,Kopi Maju Enterprise — Equipment (Jan 2026),True
2026-01-23,2042.92,Equipment,Kopi Maju Enterprise — Equipment (Jan 2026),True
2026-01-23,1962.75,Marketing,Kopi Maju Enterprise — Marketing (Jan 2026),True
2026-01-23,5302.69,Services - Digital,Kopi Maju Enterprise — Services - Digital (Jan 2026),False
2026-01-27,2156.44,Marketing,Kopi Maju Enterprise — Marketing (Jan 2026),True
2026-01-29,5347.43,Services - Digital,Kopi Maju Enterprise — Services - Digital (Jan 2026),False
2026-02-01,2251.23,Logistics,Kopi Maju Enterprise — Logistics (Feb 2026),True
2026-02-01,5182.97,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Feb 2026),False
2026-02-01,5383.5,Services - Digital,Kopi Maju Enterprise — Services - Digital (Feb 2026),False
2026-02-04,2257.0,Equipment,Kopi Maju Enterprise — Equipment (Feb 2026),True
2026-02-04,2068.93,Payroll,Kopi Maju Enterprise — Payroll (Feb 2026),True
2026-02-04,4683.86,Services - Digital,Kopi Maju Enterprise — Services - Digital (Feb 2026),False
2026-02-05,4088.9,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Feb 2026),False
2026-02-05,5165.52,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Feb 2026),False
2026-02-06,1911.93,Supplies,Kopi Maju Enterprise — Supplies (Feb 2026),True
2026-02-06,2026.44,Marketing,Kopi Maju Enterprise — Marketing (Feb 2026),True
2026-02-07,5082.06,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Feb 2026),False
2026-02-07,4866.91,Services - Digital,Kopi Maju Enterprise — Services - Digital (Feb 2026),False
2026-02-08,4921.56,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Feb 2026),False
2026-02-08,4586.99,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Feb 2026),False
2026-02-09,1859.17,Payroll,Kopi Maju Enterprise — Payroll (Feb 2026),True
2026-02-10,1984.26,Logistics,Kopi Maju Enterprise — Logistics (Feb 2026),True
2026-02-12,1795.96,Supplies,Kopi Maju Enterprise — Supplies (Feb 2026),True
2026-02-15,1882.66,Logistics,Kopi Maju Enterprise — Logistics (Feb 2026),True
2026-02-16,5309.49,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Feb 2026),False
2026-02-19,2017.08,Supplies,Kopi Maju Enterprise — Supplies (Feb 2026),True
2026-02-19,5156.93,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Feb 2026),False
2026-02-20,2133.41,Supplies,Kopi Maju Enterprise — Supplies (Feb 2026),True
2026-02-20,1796.05,Equipment,Kopi Maju Enterprise — Equipment (Feb 2026),True
2026-02-20,4628.21,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Feb 2026),False
2026-02-22,5453.48,Services - Digital,Kopi Maju Enterprise — Services - Digital (Feb 2026),False
2026-02-23,2072.5,Marketing,Kopi Maju Enterprise — Marketing (Feb 2026),True
2026-02-23,1864.24,Supplies,Kopi Maju Enterprise — Supplies (Feb 2026),True
2026-02-24,2182.61,Digital / Software,Kopi Maju Enterprise — Digital / Software (Feb 2026),True
2026-02-25,2169.74,Logistics,Kopi Maju Enterprise — Logistics (Feb 2026),True
2026-02-25,1810.61,Utilities,Kopi Maju Enterprise — Utilities (Feb 2026),True
2026-02-27,2017.07,Equipment,Kopi Maju Enterprise — Equipment (Feb 2026),True
2026-02-27,5314.22,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Feb 2026),False
2026-03-01,5357.44,Services - Digital,Kopi Maju Enterprise — Services - Digital (Mar 2026),False
2026-03-01,1855.46,Marketing,Kopi Maju Enterprise — Marketing (Mar 2026),True
2026-03-03,5507.72,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Mar 2026),False
2026-03-03,2204.4,Utilities,Kopi Maju Enterprise — Utilities (Mar 2026),True
2026-03-07,5521.84,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Mar 2026),False
2026-03-08,1746.73,Logistics,Kopi Maju Enterprise — Logistics (Mar 2026),True
2026-03-08,1758.04,Marketing,Kopi Maju Enterprise — Marketing (Mar 2026),True
2026-03-08,2133.86,Equipment,Kopi Maju Enterprise — Equipment (Mar 2026),True
2026-03-09,5677.38,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Mar 2026),False
2026-03-09,5559.84,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Mar 2026),False
2026-03-09,5709.03,Services - Digital,Kopi Maju Enterprise — Services - Digital (Mar 2026),False
2026-03-10,2191.85,Payroll,Kopi Maju Enterprise — Payroll (Mar 2026),True
2026-03-11,5173.23,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Mar 2026),False
2026-03-14,2075.11,Logistics,Kopi Maju Enterprise — Logistics (Mar 2026),True
2026-03-15,1955.47,Payroll,Kopi Maju Enterprise — Payroll (Mar 2026),True
2026-03-16,1984.13,Logistics,Kopi Maju Enterprise — Logistics (Mar 2026),True
2026-03-16,2190.64,Marketing,Kopi Maju Enterprise — Marketing (Mar 2026),True
2026-03-16,1856.47,Payroll,Kopi Maju Enterprise — Payroll (Mar 2026),True
2026-03-17,4757.12,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Mar 2026),False
2026-03-18,4668.0,Services - Digital,Kopi Maju Enterprise — Services - Digital (Mar 2026),False
2026-03-18,2118.02,Digital / Software,Kopi Maju Enterprise — Digital / Software (Mar 2026),True
2026-03-20,5728.13,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Mar 2026),False
2026-03-21,2178.37,Supplies,Kopi Maju Enterprise — Supplies (Mar 2026),True
2026-03-23,2016.84,Marketing,Kopi Maju Enterprise — Marketing (Mar 2026),True
2026-03-23,4600.44,Services - Digital,Kopi Maju Enterprise — Services - Digital (Mar 2026),False
2026-03-23,2272.45,Marketing,Kopi Maju Enterprise — Marketing (Mar 2026),True
2026-03-24,2269.65,Utilities,Kopi Maju Enterprise — Utilities (Mar 2026),True
2026-03-25,1955.41,Digital / Software,Kopi Maju Enterprise — Digital / Software (Mar 2026),True
2026-03-26,2132.21,Utilities,Kopi Maju Enterprise — Utilities (Mar 2026),True
2026-03-29,5197.97,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Mar 2026),False
2026-03-29,4868.99,Services - Digital,Kopi Maju Enterprise — Services - Digital (Mar 2026),False
2026-03-31,5337.82,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Mar 2026),False
2026-04-02,2235.39,Equipment,Kopi Maju Enterprise — Equipment (Apr 2026),True
2026-04-03,5178.68,Services - Digital,Kopi Maju Enterprise — Services - Digital (Apr 2026),False
2026-04-04,1832.51,Utilities,Kopi Maju Enterprise — Utilities (Apr 2026),True
2026-04-04,5390.29,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Apr 2026),False
2026-04-07,2132.9,Logistics,Kopi Maju Enterprise — Logistics (Apr 2026),True
2026-04-08,5157.19,Services - Digital,Kopi Maju Enterprise — Services - Digital (Apr 2026),False
2026-04-08,5886.74,Services - Digital,Kopi Maju Enterprise — Services - Digital (Apr 2026),False
2026-04-10,5449.84,Services - Digital,Kopi Maju Enterprise — Services - Digital (Apr 2026),False
